numpy,cupy,dask,jax,pytorch,sparse
"numpy.cross","cupy.cross","","cross","torch.cross",""
"numpy.cumprod","cupy.cumprod","cumprod","cumproduct","torch.cumprod",""
"numpy.cumsum","cupy.cumsum","cumsum","cumsum","torch.cumsum",""
"numpy.datetime_as_string","","","","",""
"numpy.datetime_data","","","","",""
"numpy.deg2rad","cupy.deg2rad","deg2rad","deg2rad","",""
"numpy.degrees","cupy.degrees","degrees","degrees","",""
"numpy.delete","","","","",""
"numpy.diag","cupy.diag","diag","diag","torch.diag",""
"numpy.diag_indices","","","diag_indices","",""
"numpy.diag_indices_from","","","","",""
"numpy.diagflat","cupy.diagflat","","","torch.diagflat",""
"numpy.diagonal","cupy.diagonal","diagonal","diagonal","torch.diagonal","diagonal"
"numpy.diff","cupy.diff","diff","","",""
"numpy.digitize","","digitize","","",""
"numpy.divide","cupy.divide","","divide","torch.div",""
"numpy.divmod","","","divmod","",""
"numpy.dot","cupy.dot","dot","","torch.dot","dot"
"numpy.dsplit","cupy.dsplit","","dsplit","",""
"numpy.dstack","cupy.dstack","dstack","dstack","",""
"numpy.ediff1d","","ediff1d","","",""
"numpy.einsum","cupy.einsum","einsum","einsum","torch.einsum",""
"numpy.einsum_path","","","","",""
"numpy.empty","cupy.empty","empty","empty","torch.empty",""
"numpy.empty_like","cupy.empty_like","empty_like","empty_like","torch.empty_like",""
"numpy.equal","cupy.equal","","equal","torch.eq",""
"numpy.exp","cupy.exp","exp","exp","torch.exp",""
"numpy.exp2","cupy.exp2","","exp2","",""
"numpy.expand_dims","cupy.expand_dims","","expand_dims","torch.unsqueeze",""
"numpy.expm1","cupy.expm1","expm1","expm1","torch.expm1",""
"numpy.extract","","","","",""
"numpy.eye","cupy.eye","eye","eye","torch.eye","eye"
"numpy.fabs","","fabs","fabs","",""
"numpy.fft.fft","cupy.fft.fft","fft.fft","fft","torch.fft",""
"numpy.fft.fft2","cupy.fft.fft2","fft.fft2","fft2","",""
"numpy.fft.fftfreq","cupy.fft.fftfreq","fft.fftfreq","fftfreq","",""
"numpy.fft.fftn","cupy.fft.fftn","fft.fftn","fftn","",""
"numpy.fft.fftshift","cupy.fft.fftshift","fft.fftshift","fftshift","",""
"numpy.fft.hfft","cupy.fft.hfft","fft.hfft","","",""
"numpy.fft.ifft","cupy.fft.ifft","fft.ifft","ifft","torch.ifft",""
"numpy.fft.ifft2","cupy.fft.ifft2","fft.ifft2","ifft2","",""
"numpy.fft.ifftn","cupy.fft.ifftn","fft.ifftn","ifftn","",""
"numpy.fft.ifftshift","cupy.fft.ifftshift","fft.ifftshift","ifftshift","",""
"numpy.fft.ihfft","cupy.fft.ihfft","fft.ihfft","","",""
"numpy.fft.irfft","cupy.fft.irfft","fft.irfft","irfft","torch.irfft",""
"numpy.fft.irfft2","cupy.fft.irfft2","fft.irfft2","irfft2","",""
"numpy.fft.irfftn","cupy.fft.irfftn","fft.irfftn","irfftn","",""
"numpy.fft.rfft","cupy.fft.rfft","fft.rfft","rfft","torch.rfft",""
"numpy.fft.rfft2","cupy.fft.rfft2","fft.rfft2","rfft2","",""
"numpy.fft.rfftfreq","cupy.fft.rfftfreq","fft.rfftfreq","rfftfreq","",""
"numpy.fft.rfftn","cupy.fft.rfftn","fft.rfftn","rfftn","",""
"numpy.fill_diagonal","cupy.fill_diagonal","","","",""
"numpy.find_common_type","","","","",""
"numpy.fix","cupy.fix","fix","fix","",""
"numpy.flatnonzero","cupy.flatnonzero","flatnonzero","","",""
"numpy.flip","cupy.flip","flip","flip","torch.flip",""
"numpy.fliplr","cupy.fliplr","fliplr","fliplr","",""
"numpy.flipud","cupy.flipud","flipud","flipud","",""
"numpy.float_power","","","float_power","",""
"numpy.floor","cupy.floor","floor","floor","torch.floor",""
"numpy.floor_divide","cupy.floor_divide","","floor_divide","torch.floor_divide",""
"numpy.fmax","cupy.fmax","fmax","fmax","",""
"numpy.fmin","cupy.fmin","fmin","fmin","",""
"numpy.fmod","cupy.fmod","fmod","fmod","torch.fmod",""
"numpy.format_float_positional","","","","",""
"numpy.format_float_scientific","","","","",""
"numpy.frexp","cupy.frexp","frexp","frexp","",""
"numpy.frombuffer","","","","",""
"numpy.fromfile","cupy.fromfile","","","",""
"numpy.fromfunction","","fromfunction","","",""
"numpy.fromiter","","","","",""
"numpy.frompyfunc","","frompyfunc","","",""
"numpy.fromregex","","","","",""
"numpy.fromstring","","","","",""
"numpy.full","cupy.full","full","full","torch.full","full"
"numpy.full_like","cupy.full_like","full_like","full_like","torch.full_like","full_like"
"numpy.fv","","","","",""
"numpy.gcd","","","gcd","",""
"numpy.genfromtxt","","","","",""
"numpy.geomspace","","","geomspace","",""
"numpy.get_printoptions","","","","",""
"numpy.getbufsize","","","","",""
"numpy.geterr","","","","",""
"numpy.geterrcall","","","","",""
"numpy.geterrobj","","","","",""
"numpy.gradient","","gradient","","",""
"numpy.greater","cupy.greater","","greater","torch.gt",""
"numpy.greater_equal","cupy.greater_equal","","greater_equal","torch.ge",""
"numpy.hamming","cupy.hamming","","hamming","torch.hamming_window",""
"numpy.hanning","cupy.hanning","","hanning","torch.hann_window",""
"numpy.heaviside","","","heaviside","",""
"numpy.histogram","cupy.histogram","histogram","","torch.histc",""
"numpy.histogram2d","","","","",""
"numpy.histogram_bin_edges","","","","",""
"numpy.histogramdd","","","","",""
"numpy.hsplit","cupy.hsplit","","hsplit","",""
"numpy.hstack","cupy.hstack","hstack","hstack","",""
"numpy.hypot","cupy.hypot","hypot","hypot","",""
"numpy.i0","cupy.i0","","","",""
"numpy.identity","cupy.identity","","identity","",""
"numpy.imag","cupy.imag","imag","imag","torch.imag",""
"numpy.in1d","cupy.in1d","","","",""
"numpy.indices","cupy.indices","indices","","",""
"numpy.info","","","","",""
"numpy.inner","cupy.inner","","inner","",""
"numpy.insert","","insert","","",""
"numpy.interp","","","","",""
"numpy.intersect1d","","","","",""
"numpy.invert","cupy.invert","invert","","",""
"numpy.ipmt","","","","",""
"numpy.irr","","","","",""
"numpy.is_busday","","","","",""
"numpy.isclose","cupy.isclose","isclose","isclose","",""
"numpy.iscomplex","cupy.iscomplex","iscomplex","iscomplex","torch.is_complex",""
"numpy.iscomplexobj","cupy.iscomplexobj","","","",""
"numpy.isfinite","cupy.isfinite","isfinite","isfinite","torch.isfinite",""
"numpy.isfortran","cupy.isfortran","","","",""
"numpy.isin","cupy.isin","isin","","",""
"numpy.isinf","cupy.isinf","isinf","isinf","torch.isinf",""
"numpy.isnan","cupy.isnan","isnan","isnan","torch.isnan",""
"numpy.isnat","","","","",""
"numpy.isneginf","","isneginf","isneginf","","isneginf"
"numpy.isposinf","","isposinf","isposinf","","isposinf"
"numpy.isreal","cupy.isreal","isreal","isreal","torch.is_floating_point",""
"numpy.isrealobj","cupy.isrealobj","","","",""
"numpy.isscalar","cupy.isscalar","","isscalar","",""
"numpy.issctype","","","","",""
"numpy.issubclass_","","","","",""
"numpy.issubdtype","","","issubdtype","",""
"numpy.issubsctype","","","issubsctype","",""
"numpy.ix_","cupy.ix_","","ix_","",""
"numpy.kaiser","","","kaiser","",""
"numpy.kron","cupy.kron","","kron","","kron"
"numpy.lcm","","","lcm","",""
"numpy.ldexp","cupy.ldexp","ldexp","ldexp","",""
"numpy.left_shift","cupy.left_shift","","left_shift","",""
"numpy.less","cupy.less","","less","torch.lt",""
"numpy.less_equal","cupy.less_equal","","less_equal","torch.le",""
"numpy.lexsort","cupy.lexsort","","","",""
"numpy.linalg.cholesky","cupy.linalg.cholesky","linalg.cholesky","cholesky","torch.cholesky",""
"numpy.linalg.cond","","","cond","",""
"numpy.linalg.det","cupy.linalg.det","","det","torch.det",""
"numpy.linalg.eig","","","eig","torch.eig",""
"numpy.linalg.eigh","cupy.linalg.eigh","","eigh","",""
"numpy.linalg.eigvals","","","eigvals","",""
"numpy.linalg.eigvalsh","cupy.linalg.eigvalsh","","eigvalsh","torch.symeig",""
"numpy.linalg.inv","cupy.linalg.inv","linalg.inv","inv","torch.inverse",""
"numpy.linalg.lstsq","cupy.linalg.lstsq","linalg.lstsq","","torch.lstsq",""
"numpy.linalg.matrix_power","cupy.linalg.matrix_power","","matrix_power","torch.matrix_power",""
"numpy.linalg.matrix_rank","cupy.linalg.matrix_rank","","matrix_rank","torch.matrix_rank",""
"numpy.linalg.multi_dot","","","multi_dot","",""
"numpy.linalg.norm","cupy.linalg.norm","linalg.norm","norm","torch.norm",""
"numpy.linalg.pinv","cupy.linalg.pinv","","pinv","",""
"numpy.linalg.qr","cupy.linalg.qr","linalg.qr","qr","torch.qr",""
"numpy.linalg.slogdet","cupy.linalg.slogdet","","slogdet","torch.slogdet",""
"numpy.linalg.solve","cupy.linalg.solve","linalg.solve","solve","torch.solve",""
"numpy.linalg.svd","cupy.linalg.svd","linalg.svd","svd","torch.svd",""
"numpy.linalg.tensorinv","cupy.linalg.tensorinv","","tensorinv","",""
"numpy.linalg.tensorsolve","cupy.linalg.tensorsolve","","tensorsolve","",""
"numpy.linspace","cupy.linspace","linspace","linspace","torch.linspace",""
"numpy.load","cupy.load","","","",""
"numpy.loadtxt","","","","",""
"numpy.log","cupy.log","log","log","torch.log",""
"numpy.log10","cupy.log10","log10","log10","torch.log10",""
"numpy.log1p","cupy.log1p","log1p","log1p","torch.log1p",""
"numpy.log2","cupy.log2","log2","log2","torch.log2",""
"numpy.logaddexp","cupy.logaddexp","logaddexp","logaddexp","torch.logsumexp",""
"numpy.logaddexp2","cupy.logaddexp2","logaddexp2","logaddexp2","",""
"numpy.logical_and","cupy.logical_and","logical_and","logical_and","torch.logical_and",""
"numpy.logical_not","cupy.logical_not","logical_not","logical_not","torch.logical_not",""
"numpy.logical_or","cupy.logical_or","logical_or","logical_or","torch.logical_or",""
"numpy.logical_xor","cupy.logical_xor","logical_xor","logical_xor","torch.logical_xor",""
"numpy.logspace","cupy.logspace","","logspace","torch.logspace",""
"numpy.lookfor","","","","",""
"numpy.ma.all","","","","",""
"numpy.ma.allclose","","","","",""
"numpy.ma.allequal","","","","",""
"numpy.ma.anom","","","","",""
"numpy.ma.anomalies","","","","",""
"numpy.ma.any","","","","",""
"numpy.ma.append","","","","",""
"numpy.ma.apply_along_axis","","","","",""
"numpy.ma.arange","","","","",""
"numpy.ma.argmax","","","","",""
"numpy.ma.argmin","","","","",""
"numpy.ma.argsort","","","","",""
"numpy.ma.around","","","","",""
"numpy.ma.array","","","","",""
"numpy.ma.asanyarray","","","","",""
"numpy.ma.asarray","","","","",""
"numpy.ma.atleast_1d","","","","",""
"numpy.ma.atleast_2d","","","","",""
"numpy.ma.atleast_3d","","","","",""
"numpy.ma.average","","ma.average","","",""
"numpy.ma.choose","","","","",""
"numpy.ma.clip","","","","",""
"numpy.ma.clump_masked","","","","",""
"numpy.ma.clump_unmasked","","","","",""
"numpy.ma.column_stack","","","","",""
"numpy.ma.common_fill_value","","","","",""
"numpy.ma.compress_cols","","","","",""
"numpy.ma.compress_rowcols","","","","",""
"numpy.ma.compress_rows","","","","",""
"numpy.ma.compressed","","","","",""
"numpy.ma.concatenate","","","","",""
"numpy.ma.conjugate","","","","",""
"numpy.ma.copy","","","","",""
"numpy.ma.corrcoef","","","","",""
"numpy.ma.count","","","","",""
"numpy.ma.count_masked","","","","",""
"numpy.ma.cov","","","","",""
"numpy.ma.cumprod","","","","",""
"numpy.ma.cumsum","","","","",""
"numpy.ma.default_fill_value","","","","",""
"numpy.ma.diag","","","","",""
"numpy.ma.dot","","","","",""
"numpy.ma.dstack","","","","",""
"numpy.ma.dump","","","","",""
"numpy.ma.dumps","","","","",""
"numpy.ma.ediff1d","","","","",""
"numpy.ma.empty","","","","",""
"numpy.ma.empty_like","","","","",""
"numpy.ma.expand_dims","","","","",""
"numpy.ma.filled","","ma.filled","","",""
"numpy.ma.fix_invalid","","ma.fix_invalid","","",""
"numpy.ma.flatnotmasked_contiguous","","","","",""
"numpy.ma.flatnotmasked_edges","","","","",""
"numpy.ma.frombuffer","","","","",""
"numpy.ma.fromfunction","","","","",""
"numpy.ma.getdata","","ma.getdata","","",""
"numpy.ma.getmask","","","","",""
"numpy.ma.getmaskarray","","ma.getmaskarray","","",""
"numpy.ma.harden_mask","","","","",""
"numpy.ma.hsplit","","","","",""
"numpy.ma.hstack","","","","",""
"numpy.ma.identity","","","","",""
"numpy.ma.indices","","","","",""
"numpy.ma.inner","","","","",""
"numpy.ma.innerproduct","","","","",""
"numpy.ma.is_mask","","","","",""
"numpy.ma.is_masked","","","","",""
"numpy.ma.load","","","","",""
"numpy.ma.loads","","","","",""
"numpy.ma.make_mask","","","","",""
"numpy.ma.make_mask_descr","","","","",""
"numpy.ma.make_mask_none","","","","",""
"numpy.ma.mask_cols","","","","",""
"numpy.ma.mask_or","","","","",""
"numpy.ma.mask_rowcols","","","","",""
"numpy.ma.mask_rows","","","","",""
"numpy.ma.masked_all","","","","",""
"numpy.ma.masked_all_like","","","","",""
"numpy.ma.masked_equal","","ma.masked_equal","","",""
"numpy.ma.masked_greater","","ma.masked_greater","","",""
"numpy.ma.masked_greater_equal","","ma.masked_greater_equal","","",""
"numpy.ma.masked_inside","","ma.masked_inside","","",""
"numpy.ma.masked_invalid","","ma.masked_invalid","","",""
"numpy.ma.masked_less","","ma.masked_less","","",""
"numpy.ma.masked_less_equal","","ma.masked_less_equal","","",""
"numpy.ma.masked_not_equal","","ma.masked_not_equal","","",""
"numpy.ma.masked_object","","","","",""
"numpy.ma.masked_outside","","ma.masked_outside","","",""
"numpy.ma.masked_values","","ma.masked_values","","",""
"numpy.ma.masked_where","","ma.masked_where","","torch.masked_select",""
"numpy.ma.max","","","","",""
"numpy.ma.maximum_fill_value","","","","",""
"numpy.ma.mean","","","","",""
"numpy.ma.median","","","","",""
"numpy.ma.min","","","","",""
"numpy.ma.nonzero","","","","",""
"numpy.ma.notmasked_contiguous","","","","",""
"numpy.ma.notmasked_edges","","","","",""
"numpy.ma.ones","","","","",""
"numpy.ma.outer","","","","",""
"numpy.ma.outerproduct","","","","",""
"numpy.ma.polyfit","","","","",""
"numpy.ma.power","","","","",""
"numpy.ma.prod","","","","",""
"numpy.ma.ptp","","","","",""
"numpy.ma.ravel","","","","",""
"numpy.ma.reshape","","","","",""
"numpy.ma.resize","","","","",""
"numpy.ma.round","","","","",""
"numpy.ma.row_stack","","","","",""
"numpy.ma.set_fill_value","","ma.set_fill_value","","",""
"numpy.ma.shape","","","","",""
"numpy.ma.size","","","","",""
"numpy.ma.soften_mask","","","","",""
"numpy.ma.sort","","","","",""
"numpy.ma.squeeze","","","","",""
"numpy.ma.stack","","","","",""
"numpy.ma.std","","","","",""
"numpy.ma.sum","","","","",""
"numpy.ma.swapaxes","","","","",""
"numpy.ma.trace","","","","",""
"numpy.ma.transpose","","","","",""
